filename,Re,Rct,Battery_impedance
00002.csv,0.05605783343888099,0.20097016584458333,0.21392855186944962
00004.csv,0.05319185850921101,0.16473399914864734,0.21708245270768237
00014.csv,0.05963791501051059,0.21039872263834902,0.22201329022419994
00016.csv,0.05512505361624278,0.1754882075917004,0.2211053359612666
00018.csv,0.058878485312444453,0.19095687096090014,0.2190141811173265
00020.csv,0.05281282159808424,0.17225152334151322,0.2207926875510077
00030.csv,0.057516600514537095,0.196364379896874,0.21784753442467017
00032.csv,0.05353424494363978,0.1777073031474945,0.22146624928106662
00034.csv,0.06203113143529375,0.20089789289030596,0.22208048577832984
00036.csv,0.05858490374013478,0.18415407975514042,0.2265112781128559
00046.csv,0.062410515179020035,0.21439323318771758,0.2258665204170047
00048.csv,0.058089440596035116,0.18668970409335445,0.22835499700806916
00058.csv,0.06545446046217203,0.22145350055169272,0.23224839987830878
00060.csv,0.05889356113513966,0.20283861831236083,0.2315076018814688
00070.csv,0.06743699845446587,0.23182146271844611,0.23909427124258223
00072.csv,0.060657470418007564,0.21399678178486087,0.23624814685293774
00082.csv,0.0701001536900913,0.22987797007523192,0.24462086007390327
00084.csv,0.06550718241713958,0.20355160811691492,0.24089025057985994
00086.csv,0.06547504558382393,0.23692895486998544,0.2355903718436402
00088.csv,0.06405018284856573,0.2030937186647097,0.2378773762102595
00098.csv,0.06709824474037232,0.2303958167446359,0.2378448459269015
00100.csv,0.0658333505063299,0.22044155106998758,0.24290845025762
00110.csv,0.06982103693778563,0.24787176507460934,0.24714213307277344
00112.csv,0.06878780909118251,0.21360336620224382,0.24615588538096497
00122.csv,0.07117358017648434,0.23685982966743208,0.24657251442439265
00124.csv,0.06704245742224402,0.2239461958000678,0.24646793272277048
00134.csv,0.07023260964111881,0.24323243271860617,0.24928711162497183
00136.csv,0.06768700346240909,0.22229050779281917,0.24738531849109924
00138.csv,0.07161977998793091,0.23403724411294652,0.2445466407993416
00140.csv,0.07068108535338244,0.19528521622738274,0.24516909933787065
00150.csv,0.07509561004673014,0.23858006096341283,0.25238055341911125
00152.csv,0.07216164396916556,0.21346805183925466,0.24982936189675412
00154.csv,0.0744699239483102,0.22881371041584014,0.2500686837034586
00156.csv,0.07206578369812164,0.21699657259865804,0.25029115813057073
00166.csv,0.07588155579843063,0.21716973379374443,0.25429496083660325
00168.csv,0.07280052727114004,0.2167410015359882,0.2518870697071394
00170.csv,0.07227737714460603,0.23707482814903902,0.24684258116596694
00172.csv,0.07278328377782098,0.21520598666769783,0.25042237227612213
00182.csv,0.07436360239266564,0.23408631844470174,0.2517829873357192
00184.csv,0.07300469972093052,0.22171366635291487,0.25260476727402686
00186.csv,0.07262833091140136,0.24565288003805374,0.26932579988500427
00188.csv,0.06508671766814605,0.2144103420624745,0.26383455934422806
00198.csv,0.07156780084491574,0.22917409664850488,0.26972390022539033
00200.csv,0.06496762136397431,0.2113722499969527,0.2632289519893632
00202.csv,0.07085905110621606,0.22536782747057604,0.2706832626861304
00204.csv,0.065834534585151,0.22481998719814678,0.26847904150429575
00214.csv,0.07271611665352982,0.23728932492610438,0.2779967810352467
00216.csv,0.06633054353412862,0.22668842296884809,0.26875578815354634
00218.csv,0.07379391711435068,0.23402805149171307,0.2736970551626219
00220.csv,0.06625716405326432,0.20403871987566008,0.2645232038084749
00230.csv,0.07407085440337718,0.24712433453213517,0.2816369772659682
00232.csv,0.06777627439604476,0.22534672829210955,0.27287034973501617
00242.csv,0.07553585453265253,0.22696302548798958,0.27847932934406716
00244.csv,0.06980563364404266,0.23139179896466652,0.2768610401723825
00254.csv,0.07524063848548625,0.236067929047247,0.2815019723532209
00256.csv,0.06950301630038469,0.22673458416063663,0.2730198502088468
00266.csv,0.07557825218769972,0.2381588363945259,0.2858969286028005
00268.csv,0.0694793009922898,0.22331633781203572,0.27419989614021983
00270.csv,0.07514815569756747,0.23805857497858054,0.27828721184419286
00272.csv,0.06953400672173231,0.22353689737938615,0.2719760165277261
00282.csv,0.07784268933035374,0.25487499179135786,0.2895641016807388
00284.csv,0.07028850528402687,0.22476954143458322,0.27449877630044506
00294.csv,0.07665661819286428,0.2524318071765449,0.2871362313677482
00296.csv,0.07265624639199955,0.21751930365478941,0.2778096099544336
00306.csv,0.07666311141532818,0.268866501378989,0.29404844769898014
00308.csv,0.07168773446374989,0.24943260069581252,0.28232612984653543
00318.csv,0.07651043534404252,0.2518232270228343,0.2867442326403482
00320.csv,0.0716378959549494,0.24356737218825464,0.2820333083109565
00322.csv,0.07903440492836379,0.2539874762415775,0.29518590660756727
00324.csv,0.07309229911598115,0.24055566004243167,0.28170279387286423
00334.csv,0.07819962577575235,0.26027617128815606,0.2911381075805371
00336.csv,0.07196197013376011,0.23710627029581982,0.2774566785954016
00338.csv,0.07678814571035394,0.2441680163515987,0.28607750452531006
00340.csv,0.07339044256832125,0.2523682559402184,0.28311477699563814
00350.csv,0.07710168771896372,0.23380874578902575,0.27860219459954205
00352.csv,0.07391032139929392,0.2501676896592772,0.28431078152337547
00354.csv,0.07644354445879684,0.256447267226129,0.28577664754487403
